10X	Thanks
2MI	Too much information
2U2	To You Too
4COL	For Crying Out Loud
420	let's get high
JK	Just Kidding
RUD	What are you doing?
A-OLs	Administrators On-Line
AAMOF	As A Matter Of Fact
ADN	Any Day Now
AFAIC	As Far As I'm Concerned
AFAIK	As Far As I Know
AFAIR	As Far As I Remember
AFJ	April Fools Joke
AFK	Away From the Keyboard
AISI	As I See It
ANFAWFOS	And Now For A Word From Our Sponsor
ANFSCD	And Now For Something Completely Different
ASAP	As Soon As Possible
ASAYGT	As Soon As You Get This
ASL	Age, Sex, Location
ASLA	Age, Sex, Location, Availability
ATSL	Along The Same Line
AV	Audio Visual
AV	AntiVirus
AWC	After While, Crocodile
AWGTHTGTTA	Are We Going To Have To Go Through This Again?
AWHFY	Are We Having Fun Yet?
AWTTW	A Word To The Wise
AYOR	At Your Own Risk
B4N	Bye For Now
BAC	Bad Asseded Chick
BAK	Back At Keyboard
BBFN	Bye Bye For Now
BBIAB	Be Back In A Bit
BBIAF	Be Back In A Few
BBL	Be Back Later
BBR	Burnt Beyond Repair
BC	Because
BCNU	Be seein’ you
BEG	Big Evil Grin
BF	Boy Friend
BFN	Bye For Now
BFD	Big Frickin Deal
BFF	Best Friends Forever
BIF	Before I Forget
BION	Believe it or not
BOBFOC	Body Off Baywatch, Face Off Crimewatch
BOHICA	Bend Over, Here It Comes Again
BOT	Back On Topic
BRB	Be Right Back
BRS	Big Red Switch
BTA	But Then Again
BTAIM	Be That As It May
BTHOM	Beats The Hell Outta Me
BTOBD	Be There Or Be Dead
BTW	By The Way
BWL	Bursting With Laughter
BWQ	Buzz Word Quotient
BYE	Response to BYE?
BYE?	Are you ready to say goodbye?
BYKT	But You Knew That
BYOB	Bring Your Own Bottle
BYOM	Bring Your Own Mac
C&G	Chuckle and Grin
CID	Crying In Disgrace
CMIIW	Correct Me If I’m Wrong
CPP	C++
CRS	Can't Remember Shit
CSG	Chuckle, Snicker, Grin
CU	See You
CU2	See You, Too
CUL	See you later
CUL8R	See You Later
CULA	See You Later, Alligator
CWYL	Chat With You Later
CYA	See Ya or Cover Your Ass
CYAL8R	See You All Later
CYOA	Cover Your Own Ass
D8	Date
DAC	Duck And Cover
DAU	Dosen't Add Up
DIIK	Damned If I Know
DIKU	Do I Know You?
DILLIGAD	Do I Look Like I Give A Darnn?
DIY	Do It Yourself
DK	Don’t Know
DLTBBB	Don't Let The Bed Bugs Bite
DNFTT	Do Not Feed The Trolls
dotgov	government official 
DTRT	Do The Right Thing
DWIMC	Do What I Mean, Correctly
DWIMNWIS	Do What I Mean, Not What I Say
EG 	Evil Grin
EOL	End of Life
EPIF	Epic Failure
ESAD	Eat Shit And Die
ETLA	Extended Three Letter Acronym
F2F	Face To Face
FCFS	First Come, First Served
FISH	First In, Still Here
FICAR	Forget It, Cut And Run
FITB	Fill In The Blank
FOAD	Fuck off and die
FOAF	Friend Of A Friend
FOAG	Fuck Off And Google
FOMC	Fell Off My Chair
FS	For Sale
FTASB	Faster Than A Speeding Bullet
F2F	Face to Face
FTF	Face To Face
FTL	Faster Than Light
FUBAR	Fouled Up Beyond All Repair
FUBB	Fouled Up Beyond Belief
FUD	Fear, Uncertainty and Doubt
FURTB	Full Up Ready To Burst
FWIW	For What It’s Worth
FYA	For Your Amusement
FYI	For Your Information
G1	Good One
G2G	Got to Go
GA	Go Ahead
GAL	Get A Life
GD&R	Grinning, Ducking and Running
GD&RF	Grinning, Ducking and Running Fast
GD&WVF	Grinning, Ducking, and Walking Very Fast
GDW	Grin, Duck and Weave
GF	Girl Friend
GFN	Gone For Now
GFR	Grim File Reaper
GG	Good Game
GGP	Gotta Go Pee
